"Zeitstempel","Welchem Geschlecht gehörst du an?","Ich würde sagen, ich interessiere mich für Politik","Ich mache mir Gedanken darüber, wie ich Probleme in meinem Umfeld lösen kann","Ich interessiere mich für Wahlen (regional; auf Bundesebene; international)","Mich interessiert die Arbeit der Bundesregierung","Mich interessieren Nachrichtenbeiträge über Politik (Befragungen, politische Krisen, (Wahl)-Analysen...)","These: ""Die Entscheidungen von Politikern haben einen großen Einfluss auf mein Leben. Ich sollte mich deshalb über politische Entscheidungen informieren und selbst politisch aktiv sein. ""(z.B. Demonstrationen, Petitionen, Gespräche mit Mitmenschen)","These: ""Ich überlasse die Beschäftigung mit politischen Problemen lieber den Politikern.""","Wenn morgen Bundestagswahl wäre, und du wählen dürftest: wie wahrscheinlich wäre es, dass du deine Stimme abgibst?","Wer ist in Deutschland berechtigt, die Bundestagsabgeordneten zu wählen?","Wer ist der ranghöchste Repräsentant der Bundesrepublik Deutschland?","Auf wie viele Jahre werden die Bundestagabgeordneten gewählt?","Kreuze die Institutionen an, die bei dem Gesetzgebungsprozess von der Initiative bis zur Gegenzeichnung beteiligt sind / sein können.","Welche von diesen Aufgaben haben die Landesregierungen?","Wie werden die Richter des Bundesverfassungsgerichts gewählt und auf welche Zeit?","Wer war von 2005 bis 2021 Bundeskanzler der BRD","Wer wählt den Bundespräsidenten?","Wer wählt den Bundestagspräsidenten?","Wer ist aktuell Bundespräsident?","Kreuze die Aufgaben an, die der Bundespräsident hat.","Kreuze die Aufgaben des Bundesverfassungsgerichts an.","Kreuze die Aufgaben des Bundeskanzlers an.","Kreuze die Aufgaben an, die der Bundestag hat.","Kreuze die Aufgaben an, die der Bundesrat hat.","Nach welchem Prinzip ist das politische System auf Bundesebene aufgebaut?","Welche der genannten Themen hast du im Sozialkundeunterricht bisher behandelt?","Für welches dieser Themen hast du dich am meisten interessiert?","Wieso hast du dich für dieses Thema am meisten interessiert?","Würdest du sagen, dass du insgesamt an bisher behandelten Themen interessiert warst?","Wenn du angegeben hast uninteressiert zu sein, woran könnte dies deiner Meinung nach liegen?","Über welche anderen Themen hättest du in Sozialkunde gerne ausführlicher gesprochen?","Bitte gib an, für welches dieser politischen Themen du dich allgemein interessierst.","Welche anderen Themen hattest du dir im Zusammenhang mit dem Sozialkundeunterricht an deiner Schule gewünscht? ","Denkst du, dass man das Interesse an Politik innerhalb der Klasse steigern könnte, wenn man auf persönliche Interessen der Schüler mehr eingehen würde?","Fühlst du dich auf deine politische Aktivität (z.B. wählen gehen) in Zukunft durch den Politikunterricht in der Schule gut vorbereitet?","Falls nein, bitte gib an, woran es liegen könnte, dass du dich unvorbereitet fühlst.","Denkst du, dass es bei deiner zukünftigen Wahlentscheidung nötig sein wird, sich über das politische System Deutschlands erneut zu informieren? (Trotz des Sozialkundeunterrichts)","Denkst du, dass der Politikunterricht an deiner Schule dein Interesse an Politik gestärkt hat?"
"2022/06/23 9:51:18 AM OEZ","Männlich","5","4","4","3","4","5","1","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundespräsident;Bundesverfassungsgericht;Bundeskanzler;Bundestag","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Der Bundestag","Der Bundestag","Olaf Scholz","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz der Bundesregierung","Gesetzesinitative;Entscheidung über Bundeshaushalt;Kontrolle der Regierung;Wahl des Bundeskanzlers","Mitwirken in auswärtigen Angelegenheiten;Abwahl des Bundeskanzlers","Kanzler,-Zentral,-Abgeordnetenprinzip","8 klasse ","Umweltschutz als politisches Problem","Weil das eins der wichtigsten Themen momentan ist ","Neutral","","","Kriege und Konflikte","","Eher ja","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, definitiv","Ja, eher gesteigert"
"2022/06/23 9:51:42 AM OEZ","Männlich","4","3","3","3","4","3","3","4","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundespräsident;Bundesverfassungsgericht;Bundestag;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Fertigt Gesetze aus;Löst den Bundestag auf","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz der Bundesregierung;Ernennen der Bundesminister","Gesetzesinitative;Entscheidung über Bundeshaushalt;Kontrolle der Regierung;Wahl des Bundeskanzlers","Gesetzesinitiative;Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","Hab noch kein sk","Hab noch kein sk",".","Neutral",".","","Verfassung der BRD;Wahlen in Deutschland;Kriege und Konflikte;Das Entstehen einer Diktatur","","Eher ja","Ja, Ich fühle mich ausreichend vorbereitet","","Nein, eher nicht","Neutral"
"2022/06/23 9:51:43 AM OEZ","Weiblich","1","3","1","2","1","3","4","2","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundespräsident;Bundesregierung;Bundeskanzler;Bundestag","Sie bestimmen zur Hälfte die Mitglieder des Bundestages","Zur Hälfte vom Bundesrat und zur anderen Hälfte vom Bundestag, jeweils mit 2/3 Mehrheit, auf 12 Jahre","Angela Merkel","Die Bundesbürger per Direktwahl","Der Bundestag","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Vorschlagen der Bundesminister","Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz des Bundestages","Entscheidung über Bundeshaushalt;Kontrolle der Regierung","Mitwirken in auswärtigen Angelegenheiten","Präsident,-Kollegial,-Kabinettsprinzip","Kriege und Konflikte","Kriege und Konflikte","weiß ich nicht ","Nein, eher uninteressiert","Ich bin allgemein uninteressiert an Politik","","Politische Parteien in Deutschland;Politische Prozesse außerhalb Deutschlands","","Vielleicht","Nein, Ich fühle mich eher unvorbereitet","ich bin noch nicht informiert genug","Ja, definitiv","Neutral"
"2022/06/23 9:52:24 AM OEZ","Männlich","4","3","4","4","4","3","1","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundesverfassungsgericht;Bundeskanzler;Bundesversammlung;Bundestag","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundesrat","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Vorschlagen der Bundesminister","Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz des Bundestages;Vorsitz der Bundesregierung","Entscheidung über Bundeshaushalt;Wahl des Bundeskanzlers","Gesetzesinitiative","Präsident,-Kollegial,-Kabinettsprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?)","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?)","Agrumentaustausch","Neutral","","","Politische Parteien in Deutschland;Politische Prozesse außerhalb Deutschlands","","Vielleicht","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, wahrscheinlich","Ja, eher gesteigert"
"2022/06/23 9:52:25 AM OEZ","Männlich","3","3","5","2","4","4","3","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundesverfassungsgericht;Bundesregierung;Bundesversammlung;Bundestag;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Vorschlagen der Bundesminister","Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Gegenzeichnung von Gesetzen;Vorsitz der Bundesregierung","Entscheidung über Bundeshaushalt;Wahl des Bundespräsidenten","Gesetzesinitiative;Abwahl des Bundeskanzlers","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?)","Kriege und Konflikte","Weil es halt so ist!","Neutral","","Kriege","Wahlen in Deutschland;Kriege und Konflikte","","Ja, definitiv","Nein, Ich fühle mich eher unvorbereitet","","Ja, wahrscheinlich","Ja, eher gesteigert"
"2022/06/23 9:52:45 AM OEZ","Weiblich","3","3","3","3","4","3","3","4","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundestag;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Die Bundesbürger per Direktwahl","Der Bundesrat","Olaf Scholz","Fertigt Gesetze aus","Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz des Bundestages","Gesetzesinitative;Wahl des Bundeskanzlers","Gesetzesinitiative","Präsident,-Kollegial,-Kabinettsprinzip","hatten noch kein Sozialkunde","Umweltschutz als politisches Problem","es ist sehr wichtig","Neutral","","weiß ich nicht","Kriege und Konflikte","","Eher ja","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, wahrscheinlich","Neutral"
"2022/06/23 9:52:48 AM OEZ","Weiblich","3","3","3","3","4","3","3","4","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundesverfassungsgericht;Bundesversammlung;Bundestag;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Die Bundesbürger per Direktwahl","Der Bundestag","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Vorschlagen der Bundesminister","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz der Bundesregierung;Ernennen der Bundesminister","Entscheidung über Bundeshaushalt;Wahl des Bundespräsidenten","Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","achte klasse","Kriege und Konflikte","Wegen der aktuellen Situation in der Ukraine und andere Kriege die es auf der Welt gab/gibt. ","Neutral","achte klasse","die DDR/BRD","Verfassung der BRD;Politische Parteien in Deutschland;Kriege und Konflikte;Politische Prozesse außerhalb Deutschlands","Das Regierungssystem in Deutschland ","Ja, definitiv","Nein, Ich fühle mich eher unvorbereitet","Ich weiß noch nicht genug über die Politik in Deutschland. ","Ja, wahrscheinlich","Neutral"
"2022/06/23 9:53:30 AM OEZ","Weiblich","2","3","3","2","3","2","4","4","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundesverfassungsgericht;Bundesregierung;Bundeskanzler;Bundestag;Bundesrat","Sie ernennen den Präsidenten des Bundesverfassungsgerichtes","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundespräsident bestimmt ihn","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Ernennt den Bundeskanzler;Fertigt Gesetze aus","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz des Bundestages;Ernennen der Bundesminister","Entscheidung über Bundeshaushalt;Wahl des Bundeskanzlers","Gesetzesinitiative;Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","Noch kein Sozilalkunde gehabt ","Kriege und Konflikte","Ich finde das dieses Tema interesant klingt.","Neutral","","","Politische Parteien in Deutschland;Kriege und Konflikte;Das Entstehen einer Diktatur;Politische Prozesse außerhalb Deutschlands","","Eher ja","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, wahrscheinlich","Neutral"
"2022/06/23 9:54:39 AM OEZ","Männlich","4","3","3","2","4","4","2","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundesverfassungsgericht;Bundesregierung;Bundeskanzler;Bundestag;Bundesrat","Sie ernennen den Präsidenten des Bundesverfassungsgerichtes","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Die Bundesbürger per Direktwahl","Der Bundesrat","Olaf Scholz","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Fertigt Gesetze aus","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz des Bundestages;Vorsitz der Bundesregierung","Gesetzesinitative;Wahl des Bundespräsidenten","Gesetzesinitiative;Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","Noch kein dozialkunde ","Noch kein sozialkund","Noch kein Sozialkunde","Neutral","","","Politische Parteien in Deutschland;Kriege und Konflikte;Politische Prozesse außerhalb Deutschlands","","Ja, definitiv","Nein, Ich bin nicht vorbereitet z.B. eine Wahlentscheidung zu treffen","","Ja, definitiv","Neutral"
"2022/06/23 9:54:39 AM OEZ","Männlich","4","4","4","3","5","4","2","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundesverfassungsgericht;Bundeskanzler;Bundestag;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Vorschlagen der Bundesminister","Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz des Bundestages;Gegenzeichnung von Gesetzen;Ernennen der Bundesminister","Kontrolle der Regierung;Wahl des Bundeskanzlers","Gesetzesinitiative;Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","8. Klasse","8. Klasse, würde mich am meisten für Kriege und Konflikte interessieren. ","Aktuelle Ereignisse in der Welt ","Neutral","","","Verfassung der BRD;Wahlen in Deutschland;Politische Parteien in Deutschland;Kriege und Konflikte;Das Entstehen einer Diktatur;Politische Prozesse außerhalb Deutschlands","","Ja, definitiv","Nein, Ich bin nicht vorbereitet z.B. eine Wahlentscheidung zu treffen","Noch kein Politikunterricht","Ja, definitiv","Neutral"
"2022/06/23 9:54:54 AM OEZ","Weiblich","3","2","1","1","2","3","5","3","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","5 Jahre","Bundesversammlung","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Frank-Walter Steinmeier","Fertigt Gesetze aus","Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz der Bundesregierung","Wahl des Bundeskanzlers","Abwahl des Bundeskanzlers","Präsident,-Kollegial,-Kabinettsprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?)","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?)","Keine Ahnung","Nein, eher uninteressiert","Ich bin allgemein uninteressiert an Politik","","Kriege und Konflikte","","Vielleicht","Nein, Ich fühle mich eher unvorbereitet","","Ja, wahrscheinlich","Neutral"
"2022/06/23 9:55:03 AM OEZ","Männlich","4","5","3","3","3","4","5","2","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","5 Jahre","Bundesverfassungsgericht;Bundeskanzler;Bundestag","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Frank-Walter Steinmeier","Vorschlagen der Bundesminister;Löst den Bundestag auf","Höchstes Gericht in Deutschland","Vorsitz des Bundestages;Vorsitz der Bundesregierung;Ernennen der Bundesminister","Gesetzesinitative;Entscheidung über Bundeshaushalt","Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","Kriege und Konflikte","Kriege und Konflikte","Ich finds halt interessant ","Neutral","","","Kriege und Konflikte;Das Entstehen einer Diktatur","","Ja, definitiv","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, wahrscheinlich","Neutral"
"2022/06/23 9:55:43 AM OEZ","Männlich","2","3","1","3","3","2","2","1","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundespräsident;Bundeskanzler;Bundesversammlung","Sie ernennen den Präsidenten des Bundesverfassungsgerichtes","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Olaf Scholz","Fertigt Gesetze aus","Prüft Gesetze auf potentielle Verfassungswidrigkeit","Gegenzeichnung von Gesetzen;Vorsitz der Bundesregierung;Ernennen der Bundesminister","Gesetzesinitative;Wahl des Bundespräsidenten","Gesetzesinitiative","Kanzler,-Zentral,-Abgeordnetenprinzip","Kriege und Konflikte","Globalisierung","Weil politik und was änliches interesiert micht nicht so","Neutral","Unterrichtsgestaltung zu monoton","Keine","Kriege und Konflikte","Weiß isc nicht","Eher ja","Nein, Ich bin nicht vorbereitet z.B. eine Wahlentscheidung zu treffen","Ich hatte noch kein Politikunterricht","Nein, definitiv nicht","Nein, definitiv nicht"
