"Zeitstempel","Welchem Geschlecht gehörst du an?","Ich würde sagen, ich interessiere mich für Politik","Ich mache mir Gedanken darüber, wie ich Probleme in meinem Umfeld lösen kann","Ich interessiere mich für Wahlen (regional; auf Bundesebene; international)","Mich interessiert die Arbeit der Bundesregierung","Mich interessieren Nachrichtenbeiträge über Politik (Befragungen, politische Krisen, (Wahl)-Analysen...)","These: ""Die Entscheidungen von Politikern haben einen großen Einfluss auf mein Leben. Ich sollte mich deshalb über politische Entscheidungen informieren und selbst politisch aktiv sein. ""(z.B. Demonstrationen, Petitionen, Gespräche mit Mitmenschen)","These: ""Ich überlasse die Beschäftigung mit politischen Problemen lieber den Politikern.""","Wenn morgen Bundestagswahl wäre, und du wählen dürftest: wie wahrscheinlich wäre es, dass du deine Stimme abgibst?","Wer ist in Deutschland berechtigt, die Bundestagsabgeordneten zu wählen?","Wer ist der ranghöchste Repräsentant der Bundesrepublik Deutschland?","Auf wie viele Jahre werden die Bundestagabgeordneten gewählt?","Kreuze die Institutionen an, die bei dem Gesetzgebungsprozess von der Initiative bis zur Gegenzeichnung beteiligt sind / sein können.","Welche von diesen Aufgaben haben die Landesregierungen?","Wie werden die Richter des Bundesverfassungsgerichts gewählt und auf welche Zeit?","Wer war von 2005 bis 2021 Bundeskanzler der BRD","Wer wählt den Bundespräsidenten?","Wer wählt den Bundestagspräsidenten?","Wer ist aktuell Bundespräsident?","Kreuze die Aufgaben an, die der Bundespräsident hat.","Kreuze die Aufgaben des Bundesverfassungsgerichts an.","Kreuze die Aufgaben des Bundeskanzlers an.","Kreuze die Aufgaben an, die der Bundestag hat.","Kreuze die Aufgaben an, die der Bundesrat hat.","Nach welchem Prinzip ist das politische System auf Bundesebene aufgebaut?","Welche der genannten Themen hast du im Sozialkundeunterricht bisher behandelt?","Für welches dieser Themen hast du dich am meisten interessiert?","Wieso hast du dich für dieses Thema am meisten interessiert?","Würdest du sagen, dass du insgesamt an bisher behandelten Themen interessiert warst?","Wenn du angegeben hast uninteressiert zu sein, woran könnte dies deiner Meinung nach liegen?","Über welche anderen Themen hättest du in Sozialkunde gerne ausführlicher gesprochen?","Bitte gib an, für welches dieser politischen Themen du dich allgemein interessierst.","Welche anderen Themen hattest du dir im Zusammenhang mit dem Sozialkundeunterricht an deiner Schule gewünscht? ","Denkst du, dass man das Interesse an Politik innerhalb der Klasse steigern könnte, wenn man auf persönliche Interessen der Schüler mehr eingehen würde?","Fühlst du dich auf deine politische Aktivität (z.B. wählen gehen) in Zukunft durch den Politikunterricht in der Schule gut vorbereitet?","Falls nein, bitte gib an, woran es liegen könnte, dass du dich unvorbereitet fühlst.","Denkst du, dass es bei deiner zukünftigen Wahlentscheidung nötig sein wird, sich über das politische System Deutschlands erneut zu informieren? (Trotz des Sozialkundeunterrichts)","Denkst du, dass der Politikunterricht an deiner Schule dein Interesse an Politik gestärkt hat?"
"2022/06/21 12:37:42 PM OEZ","Weiblich","4","4","4","3","4","4","2","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundesregierung","Sie bestimmen zur Hälfte die Mitglieder des Bundestages","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts","Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz der Bundesregierung","Entscheidung über Bundeshaushalt","Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?)","Allgemeinwissen ","Ja, eher interessiert","","","Wahlen in Deutschland","","Eher ja","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, definitiv","Neutral"
"2022/06/21 12:37:52 PM OEZ","Männlich","3","4","3","4","2","4","5","3","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundespräsident;Bundeskanzler;Bundestag","Sie bestimmen zur Hälfte die Mitglieder des Bundestages","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Heiko Maas","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Ernennt den Bundeskanzler;Löst den Bundestag auf","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz des Bundestages;Vorsitz der Bundesregierung;Ernennen der Bundesminister","Gesetzesinitative;Kontrolle der Regierung;Wahl des Bundeskanzlers","Gesetzesinitiative;Mitwirken in auswärtigen Angelegenheiten","Kanzler,- Kollegial,- Ressortprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?)","Fand es interessant ","Neutral","","","Kriege und Konflikte;Das Entstehen einer Diktatur;Politische Prozesse außerhalb Deutschlands","Nichts anderes","Eher ja","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, definitiv","Ja, eher gesteigert"
"2022/06/21 12:37:53 PM OEZ","Weiblich","5","4","5","3","5","5","1","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundestag","Sie ernennen den Präsidenten des Bundesverfassungsgerichtes","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Der Bundestag","Der Bundestag","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Ernennt den Bundeskanzler","Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz des Bundestages","Entscheidung über Bundeshaushalt;Kontrolle der Regierung;Wahl des Bundespräsidenten","Mitwirken in auswärtigen Angelegenheiten","Präsident,-Kollegial,-Kabinettsprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD","Grundgesetz der BRD","Kein plan","Ja, sehr interessiert","","","Verfassung der BRD","","Ja, definitiv","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, definitiv","Ja, definitiv"
"2022/06/21 12:37:53 PM OEZ","Weiblich","5","4","5","4","5","5","1","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundespräsident;Bundesregierung;Bundeskanzler;Bundestag;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Der Bundestag","Der Bundestag","Frank-Walter Steinmeier","Ernennt den Bundeskanzler;Löst den Bundestag auf","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz des Bundestages;Gegenzeichnung von Gesetzen;Vorsitz der Bundesregierung","Gesetzesinitative;Entscheidung über Bundeshaushalt;Wahl des Bundeskanzlers","Gesetzesinitiative;Mitwirken in auswärtigen Angelegenheiten","Präsident,-Kollegial,-Kabinettsprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?)","ich finde das politik gerade für unsere generation eine sehr große rolle spielt und möchte mich selbst gerne mehr politisch beteiligen","Ja, sehr interessiert","","aktuelle politik sowie parteiprogramme","Wahlen in Deutschland;Politische Parteien in Deutschland;Kriege und Konflikte;Das Entstehen einer Diktatur;Politische Prozesse außerhalb Deutschlands","","Eher ja","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, wahrscheinlich","Ja, eher gesteigert"
"2022/06/21 12:38:47 PM OEZ","Männlich","3","3","4","2","5","3","4","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundesverfassungsgericht;Bundesversammlung;Bundestag;Bundesrat","Sie bestimmen zur Hälfte die Mitglieder des Bundestages","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Vorschlagen der Bundesminister","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz der Bundesregierung","Entscheidung über Bundeshaushalt","Gesetzesinitiative","Präsident,-Kollegial,-Kabinettsprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Kriege und Konflikte","Kriege und Konflikte","Weil es uns alle betrifft","Ja, eher interessiert","","","Wahlen in Deutschland;Kriege und Konflikte;Das Entstehen einer Diktatur","","Ja, definitiv","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, definitiv","Ja, definitiv"
"2022/06/21 12:38:49 PM OEZ","Männlich","2","5","3","1","3","2","5","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundesregierung;Bundestag;Bundesrat","Sie bestimmen zur Hälfte die Mitglieder des Bundestages","Zur Hälfte vom Bundesrat und zur anderen Hälfte vom Bundestag, jeweils mit 2/3 Mehrheit, auf 12 Jahre","Angela Merkel","Der Bundestag","Der Bundespräsident bestimmt ihn","Frank-Walter Steinmeier","Vorschlagen der Bundesminister;Löst den Bundestag auf","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz der Bundesregierung;Ernennen der Bundesminister","Kontrolle der Regierung;Wahl des Bundeskanzlers","Gesetzesinitiative;Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?)","ist aktuell ","Ja, eher interessiert","","Wahlomat","Verfassung der BRD;Wahlen in Deutschland;Politische Parteien in Deutschland;Kriege und Konflikte;Das Entstehen einer Diktatur;Politische Prozesse außerhalb Deutschlands","das Entstehen der Diktatur","Eher ja","Ja, Ich fühle mich sehr gut vorbereitet","","Ja, wahrscheinlich","Neutral"
"2022/06/21 12:39:30 PM OEZ","Weiblich","3","3","3","2","3","4","2","1","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundesverfassungsgericht;Bundesregierung;Bundeskanzler;Bundestag","Sie ernennen den Präsidenten des Bundesverfassungsgerichtes","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Der Bundestag","Der Bundestag","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Ernennt den Bundeskanzler;Fertigt Gesetze aus","Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz des Bundestages","Gesetzesinitative","Gesetzesinitiative;Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?)","keine Ahnung ","Neutral","","","Wahlen in Deutschland;Politische Parteien in Deutschland;Kriege und Konflikte","","Eher ja","Nein, Ich fühle mich eher unvorbereitet","","Ja, definitiv","Neutral"
"2022/06/21 12:39:46 PM OEZ","Weiblich","2","3","2","1","2","3","4","3","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundespräsident;Bundesregierung;Bundestag","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Der Bundestag","Der Bundestag","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Vorschlagen der Bundesminister","Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz des Bundestages","Wahl des Bundespräsidenten","Mitwirken in auswärtigen Angelegenheiten","Präsident,-Kollegial,-Kabinettsprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD","gar nichts","nicht so mein Ding ","Nein, eher uninteressiert","Ich bin allgemein uninteressiert an Politik","Politik ist insgesamt nicht mein Ding ","alles nicht so meins ","","Vielleicht","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, wahrscheinlich","Nein, eher nicht"
"2022/06/21 12:39:46 PM OEZ","Männlich","1","5","1","1","1","3","3","1","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundespräsident;Bundesverfassungsgericht;Bundesregierung;Bundeskanzler;Bundesrat","Sie bestimmen zur Hälfte die Mitglieder des Bundestages","Zur Hälfte vom Bundesrat und zur anderen Hälfte vom Bundestag, jeweils mit 2/3 Mehrheit, auf 12 Jahre","Angela Merkel","Die Bundesbürger per Direktwahl","Der Bundestag","Olaf Scholz","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Vorschlagen der Bundesminister;Fertigt Gesetze aus","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz des Bundestages;Gegenzeichnung von Gesetzen;Ernennen der Bundesminister","Gesetzesinitative;Kontrolle der Regierung;Wahl des Bundeskanzlers","Abwahl des Bundeskanzlers","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?)","Wahr interessanter als das andere","Nein, sehr uninteressiert","Ich bin allgemein uninteressiert an Politik","","Politische Parteien in Deutschland","","Vielleicht","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, wahrscheinlich","Nein, definitiv nicht"
"2022/06/21 12:39:51 PM OEZ","Männlich","4","4","5","3","3","4","3","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundestag","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Die Bundesbürger per Direktwahl","Der Bundestag","Frank-Walter Steinmeier","Fertigt Gesetze aus","Höchstes Gericht in Deutschland","Vorsitz des Bundestages","Kontrolle der Regierung","Gesetzesinitiative","Präsident,-Kollegial,-Kabinettsprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?)","Nischt","Hab ich garnicht ","Nein, sehr uninteressiert","Bin mir unsicher ","Hatten nur eins","Wahlen in Deutschland;Kriege und Konflikte;Das Entstehen einer Diktatur","Keins","Vielleicht","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, wahrscheinlich","Nein, eher nicht"
"2022/06/21 12:39:57 PM OEZ","Weiblich","2","2","2","2","3","3","3","1","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundespräsident;Bundesverfassungsgericht;Bundestag;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Ernennt den Bundeskanzler","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz der Bundesregierung;Ernennen der Bundesminister","Gesetzesinitative;Entscheidung über Bundeshaushalt;Kontrolle der Regierung","Gesetzesinitiative","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD","Grundgesetz der BRD","Da ich interessant finde wie es von dem Menschenrechten abhängig ist ","Neutral","","","Kriege und Konflikte","","Eher ja","Nein, Ich fühle mich eher unvorbereitet","","Ja, definitiv","Ja, eher gesteigert"
"2022/06/21 12:40:25 PM OEZ","Männlich","2","4","3","2","3","5","1","3","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundespräsident;Bundesverfassungsgericht","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Frank-Walter Steinmeier","Ernennt den Bundeskanzler;Fertigt Gesetze aus;Löst den Bundestag auf","Höchstes Gericht in Deutschland;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz des Bundestages","Kontrolle der Regierung;Wahl des Bundespräsidenten","Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD","Grundgesetz der BRD","Gar nicht aber ich musste eins ankreuzen lol ","Neutral","Unterrichtsgestaltung zu monoton","","Kriege und Konflikte","","Ja, definitiv","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, definitiv","Ja, eher gesteigert"
"2022/06/21 12:42:17 PM OEZ","Männlich","5","5","4","3","4","2","3","4","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundespräsident;Bundesverfassungsgericht;Bundesregierung;Bundestag","Sie ernennen den Präsidenten des Bundesverfassungsgerichtes","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundesrat","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Ernennt den Bundeskanzler;Fertigt Gesetze aus","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz des Bundestages;Vorsitz der Bundesregierung","Entscheidung über Bundeshaushalt;Wahl des Bundeskanzlers","Mitwirken in auswärtigen Angelegenheiten;Abwahl des Bundeskanzlers","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?)","Mich interessieren politische Themen","Ja, sehr interessiert","","Arbeit im Bundestag ","Politische Parteien in Deutschland;Kriege und Konflikte;Das Entstehen einer Diktatur;Politische Prozesse außerhalb Deutschlands","Entstehung der Diktator ","Ja, definitiv","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, wahrscheinlich","Nein, eher nicht"
"2022/06/21 1:03:13 PM OEZ","Männlich","2","3","1","1","3","3","4","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundespräsident;Bundesverfassungsgericht;Bundesversammlung;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Zur Hälfte vom Bundesrat und zur anderen Hälfte vom Bundestag, jeweils mit 2/3 Mehrheit, auf 12 Jahre","Angela Merkel","Der Bundestag","Der Bundespräsident bestimmt ihn","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Ernennt den Bundeskanzler;Löst den Bundestag auf","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz der Bundesregierung;Ernennen der Bundesminister","Entscheidung über Bundeshaushalt;Wahl des Bundespräsidenten;Wahl des Bundeskanzlers","Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?)","Alles andere ist noch langweiliger","Nein, eher uninteressiert","","","Kriege und Konflikte;Politische Prozesse außerhalb Deutschlands","","Ja, definitiv","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, wahrscheinlich","Neutral"
"2022/06/21 1:04:22 PM OEZ","Männlich","3","3","4","2","4","3","2","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundespräsident;Bundesverfassungsgericht;Bundeskanzler;Bundestag;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Zur Hälfte vom Bundesrat und zur anderen Hälfte vom Bundestag, jeweils mit 2/3 Mehrheit, auf 12 Jahre","Angela Merkel","Der Bundestag","Der Bundespräsident bestimmt ihn","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Vorschlagen der Bundesminister;Fertigt Gesetze aus","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz des Bundestages;Gegenzeichnung von Gesetzen","Gesetzesinitative;Entscheidung über Bundeshaushalt;Wahl des Bundespräsidenten","Gesetzesinitiative;Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Bundestagswahlen","Bundestagswahlen","Weil es auch mich im späteren Leben etwas angeht","Neutral","","","Wahlen in Deutschland;Politische Parteien in Deutschland;Kriege und Konflikte","","Ja, definitiv","Ja, Ich fühle mich sehr gut vorbereitet","","Ja, wahrscheinlich","Ja, eher gesteigert"
"2022/06/21 1:04:57 PM OEZ","Weiblich","2","4","2","1","3","3","1","4","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundespräsident;Bundesregierung;Bundeskanzler;Bundestag;Bundesrat","Sie ernennen den Präsidenten des Bundesverfassungsgerichtes","Zur Hälfte vom Bundesrat und zur anderen Hälfte vom Bundestag, jeweils mit 2/3 Mehrheit, auf 12 Jahre","Angela Merkel","Der Bundestag","Der Bundestag","Olaf Scholz","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Vorschlagen der Bundesminister;Löst den Bundestag auf","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz der Bundesregierung","Wahl des Bundespräsidenten;Wahl des Bundeskanzlers","Gesetzesinitiative;Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?)","Kriege und Konflikte","Das Denken und Handeln der Menschen","Neutral","","","Kriege und Konflikte;Das Entstehen einer Diktatur;Politische Prozesse außerhalb Deutschlands","","Eher ja","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, wahrscheinlich","Neutral"
"2022/06/21 1:05:58 PM OEZ","Männlich","4","4","4","5","5","3","2","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundespräsident;Bundesregierung;Bundeskanzler;Bundestag;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Zur Hälfte vom Bundesrat und zur anderen Hälfte vom Bundestag, jeweils mit 2/3 Mehrheit, auf 12 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Vorschlagen der Bundesminister;Ernennt den Bundeskanzler;Fertigt Gesetze aus;Löst den Bundestag auf","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz der Bundesregierung","Gesetzesinitative;Entscheidung über Bundeshaushalt;Kontrolle der Regierung;Wahl des Bundeskanzlers","Gesetzesinitiative","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?)","Da es mich interessiert, wie Politik im allg. fumktioniert und wie das auch in der Schule funktioniert (klassensprecherwahl, schülersprecher,...)","Ja, eher interessiert","","","Verfassung der BRD;Wahlen in Deutschland;Politische Parteien in Deutschland","","Ja, definitiv","Ja, Ich fühle mich ausreichend vorbereitet","","Nein, eher nicht","Ja, definitiv"
"2022/06/21 1:06:41 PM OEZ","Männlich","4","5","4","4","4","3","2","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundespräsident;Bundesregierung;Bundeskanzler;Bundestag;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Zur Hälfte vom Bundesrat und zur anderen Hälfte vom Bundestag, jeweils mit 2/3 Mehrheit, auf 12 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Frank-Walter Steinmeier","Ernennt den Bundeskanzler;Fertigt Gesetze aus;Löst den Bundestag auf","Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Gegenzeichnung von Gesetzen;Vorsitz der Bundesregierung;Ernennen der Bundesminister","Gesetzesinitative;Entscheidung über Bundeshaushalt;Kontrolle der Regierung","Gesetzesinitiative","Kanzler,- Kollegial,- Ressortprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Parteien ","Parteien","Deren handelln bestimmt leben in deutschlland ","Neutral","Unterrichtsinhalte zu theoretisch","Aktuelle polit. Probleme ","Politische Parteien in Deutschland;Kriege und Konflikte;Das Entstehen einer Diktatur;Politische Prozesse außerhalb Deutschlands","- ","Ja, definitiv","Ja, Ich fühle mich sehr gut vorbereitet","","Nein, eher nicht","Nein, definitiv nicht"
"2022/06/21 1:06:53 PM OEZ","Weiblich","4","4","3","2","4","3","1","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","5 Jahre","Bundespräsident;Bundesverfassungsgericht;Bundeskanzler;Bundestag","Sie ernennen die Kabinettsmitglieder des Bundsrates","Zur Hälfte vom Bundesrat und zur anderen Hälfte vom Bundestag, jeweils mit 2/3 Mehrheit, auf 12 Jahre","Angela Merkel","Die Bundesbürger per Direktwahl","Der Bundesrat","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Ernennt den Bundeskanzler;Fertigt Gesetze aus","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz des Bundestages;Gegenzeichnung von Gesetzen;Vorsitz der Bundesregierung","Gesetzesinitative;Entscheidung über Bundeshaushalt;Kontrolle der Regierung","Gesetzesinitiative;Mitwirken in auswärtigen Angelegenheiten","Präsident,-Kollegial,-Kabinettsprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD","Grundgesetz der BRD","Weil es mich auch was angeht und es gut ist seine Rechte zu kennen","Ja, eher interessiert","","","Politische Parteien in Deutschland;Kriege und Konflikte;Das Entstehen einer Diktatur;Politische Prozesse außerhalb Deutschlands","","Ja, definitiv","Nein, Ich fühle mich eher unvorbereitet","Man wird über alles nur bisschen informiert und muss sich in Zukunft trotzdem noch genauer mit themen beschäftigen um z.B? Eine Wahlentscheidung treffen zu können","Ja, definitiv","Ja, eher gesteigert"
